Date,Open,High,Low,Close,Volume
2016-09-15,8743.85,8751.95,8704.35,8742.55,149889703
2016-09-16,8780.85,8847.65,8750.5,8779.85,274039556
2016-09-19,8788.45,8824.3,8774.2,8808.4,135814177
2016-09-20,8816.1,8816.45,8759.3,8775.9,140718486
2016-09-21,8790.3,8826.85,8757.3,8777.15,153441330
2016-09-22,8873.35,8893.35,8837.8,8867.45,178136644
2016-09-23,8880.75,8885.2,8820.3,8831.55,191618169
2016-09-26,8807.9,8809.55,8715.1,8723.05,169050086
2016-09-27,8748.9,8768.5,8690.5,8706.4,156100521
2016-09-28,8711.2,8767.05,8703.15,8745.15,170643694
2016-09-29,8792.7,8800.65,8558.25,8591.25,384395249
2016-09-30,8581.5,8637.15,8555.2,8611.15,187333285
2016-10-03,8666.15,8745.2,8635.0,8738.1,141472076
2016-10-04,8770.0,8783.65,8736.1,8769.15,189990151
2016-10-05,8806.35,8806.95,8731.4,8743.95,162103951
2016-10-06,8768.7,8781.15,8684.65,8709.55,168713605
2016-10-07,8721.7,8723.7,8663.8,8697.6,155053800
2016-10-10,8735.35,8745.8,8703.95,8708.8,111794053
2016-10-13,8671.5,8681.55,8541.35,8573.35,218861324
2016-10-14,8594.0,8604.45,8549.8,8583.4,167848947
2016-10-17,8612.95,8615.4,8506.15,8520.4,203516577
2016-10-18,8556.05,8685.1,8555.9,8677.9,216626083
2016-10-19,8697.5,8698.75,8636.7,8659.1,177397872
2016-10-20,8693.35,8727.0,8678.3,8699.4,165952091
2016-10-21,8708.6,8709.1,8652.05,8693.05,162162047
2016-10-24,8709.85,8736.95,8684.15,8708.95,161966274
2016-10-25,8721.7,8722.65,8663.45,8691.3,195696479
2016-10-26,8657.3,8657.3,8596.6,8615.25,226133074
2016-10-27,8607.1,8624.85,8550.25,8615.25,250336333
2016-10-28,8625.0,8653.75,8581.75,8638.0,180906084
2016-10-30,8672.35,8678.25,8616.25,8625.7,16610872
2016-11-01,8653.15,8669.6,8614.5,8626.25,170068995
2016-11-02,8542.8,8549.5,8504.85,8514.0,160130480
2016-11-03,8499.85,8537.65,8476.15,8484.95,175773254
2016-11-04,8503.6,8504.0,8400.25,8433.75,231783152
2016-11-07,8535.75,8535.85,8481.45,8497.05,178070534
2016-11-08,8540.0,8559.4,8480.1,8543.55,201759648
2016-11-09,8067.5,8476.2,8002.25,8432.0,323968654
2016-11-10,8555.6,8598.45,8510.7,8525.75,271196930
2016-11-11,8456.65,8460.6,8284.95,8296.3,275221694
2016-11-15,8284.85,8288.55,8093.2,8108.45,370298063
2016-11-16,8205.65,8210.05,8089.4,8111.6,277801233
2016-11-17,8105.1,8151.25,8060.3,8079.95,197183084
2016-11-18,8097.55,8128.95,8048.3,8074.1,166199545
2016-11-21,8102.1,8102.45,7916.4,7929.1,225608889
2016-11-22,7989.15,8019.05,7938.15,8002.3,216677654
2016-11-23,8051.2,8055.2,7973.1,8033.3,186602328
2016-11-24,8011.8,8024.85,7952.55,7965.5,268619026
2016-11-25,8007.95,8122.25,7976.75,8114.3,183355873
2016-11-28,8080.65,8146.5,8066.5,8126.9,195595287
2016-11-29,8131.55,8197.35,8128.7,8142.15,195618384
2016-11-30,8172.15,8234.25,8139.25,8224.5,255725357
2016-12-01,8244.0,8250.8,8185.05,8192.9,162597213
2016-12-02,8153.55,8159.3,8070.05,8086.8,176767415
2016-12-05,8088.75,8141.9,8056.85,8128.75,130435865
2016-12-06,8153.15,8178.7,8130.85,8143.15,118854323
2016-12-07,8168.4,8190.45,8077.5,8102.05,175024334
2016-12-08,8152.1,8256.25,8151.75,8246.85,146857616
2016-12-09,8271.7,8274.95,8241.95,8261.75,154344775
2016-12-12,8230.65,8230.65,8154.45,8170.8,111432551
2016-12-13,8196.15,8228.85,8155.8,8221.8,189739559
2016-12-14,8229.35,8229.4,8165.1,8182.45,149132520
2016-12-15,8128.4,8225.9,8121.95,8153.6,187425988
2016-12-16,8178.2,8178.7,8127.45,8139.45,209268331
2016-12-19,8126.0,8132.5,8094.85,8104.35,110669713
2016-12-20,8110.6,8124.1,8062.75,8082.4,132026742
2016-12-21,8105.85,8112.55,8053.25,8061.3,127543733
2016-12-22,8043.85,8046.45,7964.95,7979.1,126409580
2016-12-23,7972.5,8022.6,7942.05,7985.75,127921701
2016-12-26,7965.1,7970.05,7893.8,7908.25,110171222
2016-12-27,7915.05,8044.65,7903.7,8032.85,122463312
2016-12-28,8047.55,8100.55,8028.4,8034.85,130580701
2016-12-29,8030.6,8111.1,8020.8,8103.6,183984077
